Date : 2025-05-15 20:12:39
Directory : c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza
Total : 1304 files,  47288 codes, 21300 comments, 13363 blanks, all 81951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtQuick3D.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtQuickWidgets.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtRemoteObjects.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtScript.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtSensors.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtSerialPort.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtSql.py                                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtSvg.py                                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtTest.py                                                | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtTextToSpeech.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtWebChannel.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtWebEngine.py                                           | Python           |          2 |         10 |          3 |         15 |
