"filename", "language", "Python", "pip requirements", "Properties", "MS SQL", "Batch", "PowerShell", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\url.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 37, 79, 436
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\wait.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 38, 26, 153
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\webencodings\__init__.py", "Python", 249, 0, 0, 0, 0, 0, 0, 0, 14, 80, 343
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\webencodings\labels.py", "Python", 223, 0, 0, 0, 0, 0, 0, 0, 2, 7, 232
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\webencodings\mklabels.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 2, 18, 60
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\webencodings\tests.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 2, 29, 154
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\webencodings\x_user_defined.py", "Python", 292, 0, 0, 0, 0, 0, 0, 0, 7, 27, 326
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\__init__.py", "Python", 2478, 0, 0, 0, 0, 0, 0, 0, 163, 656, 3297
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\appdirs.py", "Python", 493, 0, 0, 0, 0, 0, 0, 0, 27, 89, 609
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\__init__.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_adapters.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 45, 171
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 12, 22, 105
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 6, 24, 99
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_itertools.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 3, 5, 36
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_legacy.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 1, 28, 122
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\abc.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 6, 30, 138
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\readers.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 4, 31, 123
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\simple.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 6, 28, 117
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\context.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 6, 45, 214
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\functools.py", "Python", 401, 0, 0, 0, 0, 0, 0, 0, 2, 123, 526
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text\__init__.py", "Python", 441, 0, 0, 0, 0, 0, 0, 0, 5, 154, 600
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\more.py", "Python", 3241, 0, 0, 0, 0, 0, 0, 0, 129, 947, 4317
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\recipes.py", "Python", 510, 0, 0, 0, 0, 0, 0, 0, 4, 185, 699
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__about__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__init__.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_manylinux.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 51, 39, 302
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_musllinux.py", "Python", 107, 0, 0, 0, 0, 0, 0, 0, 4, 26, 137
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 3, 23, 62
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py", "Python", 224, 0, 0, 0, 0, 0, 0, 0, 7, 74, 305
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 9, 33, 147
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py", "Python", 490, 0, 0, 0, 0, 0, 0, 0, 156, 157, 803
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\tags.py", "Python", 373, 0, 0, 0, 0, 0, 0, 0, 26, 89, 488
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 16, 30, 137
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\packaging\version.py", "Python", 334, 0, 0, 0, 0, 0, 0, 0, 58, 113, 505
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\__init__.py", "Python", 277, 0, 0, 0, 0, 0, 0, 0, 26, 29, 332
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\actions.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 6, 54, 208
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\common.py", "Python", 304, 0, 0, 0, 0, 0, 0, 0, 39, 82, 425
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py", "Python", 4609, 0, 0, 0, 0, 0, 0, 0, 252, 954, 5815
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\diagram\__init__.py", "Python", 503, 0, 0, 0, 0, 0, 0, 0, 58, 82, 643
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\exceptions.py", "Python", 207, 0, 0, 0, 0, 0, 0, 0, 4, 57, 268
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\helpers.py", "Python", 872, 0, 0, 0, 0, 0, 0, 0, 38, 179, 1089
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\results.py", "Python", 609, 0, 0, 0, 0, 0, 0, 0, 24, 128, 761
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\testing.py", "Python", 279, 0, 0, 0, 0, 0, 0, 0, 10, 43, 332
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\unicode.py", "Python", 300, 0, 0, 0, 0, 0, 0, 0, 5, 48, 353
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\util.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 2, 50, 236
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\_vendor\zipp.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 1, 74, 330
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pkg_resources\extern\__init__.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\__init__.py", "Python", 186, 0, 0, 0, 0, 0, 0, 0, 6, 56, 248
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\_deprecation_warning.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\_distutils\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 4, 8, 25
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\_distutils\_collections.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\_distutils\_functools.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\setuptools\_distutils\_macos_compat.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
